event_id,mmsi,mmsi_cate,ship_name,imo,begin_time,end_time,begin_lng,begin_lat,end_lng,end_lat,middle_lng,middle_lat,avg_lng,avg_lat,middle_hdg,max_hdg,min_hdg,middle_sog,max_sog,middle_cog,max_cog,min_cog,max_rot,min_rot,middle_rot,point_num,avg_speed,avg_steady_speed,sailing_distance,zone_id,navistate,now_port_name,now_port_id,now_dock_name,now_dock_id,now_berth_name,now_berth_id,now_port_lng,now_port_lat,event_categories,province,country,event_cate,begin_year,begin_month,begin_day
20230301001030201202010,0,,,,1677629439,1677679510,120.283941,24.449831,122102171,24449831,122101960,29998980,118284100,30293287,0,0,0,0,1,0,0,0,0,0,0,171,0.0,,0.0,2154020.0,15,gaoting,3260.0,-1,-1.0,berth4,48174.0,118.229994,22.986,low_speed_event,,China-People'sRepublicOf,0,2023,3,1
20230302000530201202010,0,,,,1677715549,1677760026,122.68485,24.449831,122102026,22967196,118287831,30007990,116300609,22967181,0,19100,0,0,162,0,19270,0,0,0,0,110,0.0,,0.0,2154020.0,15,gaoting,3260.0,-1,-1.0,berth4,48174.0,120.2829,24.530901,low_speed_event,,China-People'sRepublicOf,1,2023,3,2
20230304000630201200010,0,,,,1677888375,1677893764,118.287831,24.450416,118287831,24450426,118287831,30008241,120283945,30002712,20000,29200,0,67,91,19970,29120,0,0,0,0,13,0.0,,0.0,2161221.0,0,ningbo,3467.0,NINGBO108,12718.0,-1,-1.0,118.229994,30.2931014,low_speed_event,,China-People'sRepublicOf,0,2023,3,4
20230305000030261201010,0,,,,1677974438,1678197225,116.30061599999999,22.627245,116300650,22627295,122684851,24450416,122085297,30198250,0,28300,0,0,104,0,35710,0,0,0,0,1014,0.0,,0.0,2157626.0,0,,,,,,,118.229994,24.530901,low_speed_event,,,1,2023,3,5
20230308000330201200010,0,,,,1678233829,1678251094,122.10195999999999,30.008319999999998,120283905,24449831,118287831,24450416,118287831,22627269,0,35100,0,0,97,0,33180,0,0,0,0,24,0.0,,0.0,2161221.0,0,zhoushan,3730.0,-1,-1.0,berth66,45365.0,120.2829,30.2931014,low_speed_event,,China-People'sRepublicOf,0,2023,3,8
20230310233430211200010,0,,,,1678491267,1678491627,118.287831,24.450416,118287840,30008310,122062416,30198325,120283958,24449831,0,0,0,0,0,0,0,0,0,0,0,2,0.4902110405653176,7.0,10.51490063,2161221.0,0,ningbo,3467.0,NINGBO30,12704.0,-1,-1.0,122.111028,24.530901,low_speed_event,,China-People'sRepublicOf,1,2023,3,10
20230315000130261201010,0,,,,1678838469,1678886244,118.287831,30.198249999999998,118287840,24450416,118287831,30293566,122061660,22627287,0,34900,0,0,278,0,35630,0,0,0,0,226,0.0,,0.0,2157626.0,15,,,,,,,122.0665895,,low_speed_event,,,1,2023,3,15
20230301000230021126110,1,,,,1677628941,1678146921,122.0624,24.450416,118284100,22627246,118284100,30293566,118287822,24450416,0,0,0,1,16,0,17310,0,0,0,0,456,0.0,,0.0,2427602.0,0,kaohsiung,16957.0,Penglai Commercial Harbour,2610.0,-1,-1.0,122.0610186,29.99892646,low_speed_event,,Taiwan-china,1,2023,3,1
20230310001130021126110,1,,,,1678407082,1678837941,122.68485,30.00807,122684850,24449831,118284100,24449831,118287831,24450407,0,0,0,0,10,0,0,0,0,0,0,180,0.0,,0.0,2427602.0,15,kaohsiung,16957.0,Penglai Commercial Harbour,2610.0,-1,-1.0,120.2829,22.6168,low_speed_event,,Taiwan-china,0,2023,3,10
20230316001030021126110,1,,,,1678925421,1680278374,118.2841,24.450416,118284100,30293581,118284100,22967216,118284100,30004059,0,0,0,0,10,0,0,0,0,0,0,185,0.0,,0.0,2427602.0,15,kaohsiung,16957.0,Penglai Commercial Harbour,2610.0,-1,-1.0,122.0999138,24.530901,low_speed_event,,Taiwan-china,0,2023,3,16
20230301000829821144210,2,,,,1677629291,1677714847,118.287831,24.450416,118287831,30198250,122062381,24450416,122684855,22627274,0,0,0,0,0,0,0,0,0,0,0,170,0.0,,0.0,2362782.0,15,liuwudian,3400.0,-1,-1.0,-1,-1.0,118.229994,22.6168,low_speed_event,,China-People'sRepublicOf,1,2023,3,1
20230305000529821144210,2,,,,1677974707,1678060511,120.283895,22.967181,122101960,24450426,116300700,24449831,118287831,24450414,0,0,0,0,0,0,0,0,0,0,0,186,0.0,,0.0,2362782.0,15,liuwudian,3400.0,-1,-1.0,-1,-1.0,,24.530901,low_speed_event,,China-People'sRepublicOf,1,2023,3,5
20230311000729821144210,2,,,,1678493227,1678665307,122.10235999999999,30.29355,122062400,30198250,120284061,24450416,122684859,24450416,0,0,0,0,0,0,0,0,0,0,0,147,0.0,,0.0,2362782.0,15,liuwudian,3400.0,-1,-1.0,-1,-1.0,118.229994,24.530901,low_speed_event,,China-People'sRepublicOf,1,2023,3,11
20230301000529821144310,3,,,,1677629115,1677714199,118.287831,22.627295,122684866,24450416,120283960,24450416,122098978,24449831,0,0,0,0,0,0,0,0,0,0,0,161,0.093246300860735,,0.0028781999999999,2362782.0,15,liuwudian,3400.0,-1,-1.0,-1,-1.0,118.229994,24.530901,low_speed_event,,China-People'sRepublicOf,1,2023,3,1
20230303000329821144310,3,,,,1677801795,1678060515,122.0624,30.00799,118287831,30293566,122684866,22627351,122062406,24449831,0,0,0,0,0,0,0,0,0,0,0,216,0.0,,0.0,2362782.0,15,liuwudian,3400.0,-1,-1.0,-1,-1.0,122.0610186,24.530901,low_speed_event,,China-People'sRepublicOf,1,2023,3,3
20230307000829821144310,3,,,,1678147699,1678232414,118.287831,30.29355,122062450,30007986,120284021,22627291,120283954,24450409,0,0,0,0,0,0,0,0,0,0,0,191,0.0,,0.0,2362782.0,15,liuwudian,3400.0,-1,-1.0,-1,-1.0,118.229994,30.0007313,low_speed_event,,China-People'sRepublicOf,1,2023,3,7
20230309003429821144310,3,,,,1678322055,1678751835,118.2841,24.450416,120284011,24450416,122102211,30198265,118284100,30293566,0,0,0,0,0,0,0,0,0,0,0,116,0.0,,0.0,2362782.0,15,liuwudian,3400.0,-1,-1.0,-1,-1.0,118.229994,,low_speed_event,,China-People'sRepublicOf,1,2023,3,9
